Date,Produit,Resultat,TVA,Categorie
2024-10-18,Chaussures Running Carbone,4980.0,996.0,Milieu de Gamme
2024-10-18,Tapis de Yoga Antidérapant,1749.5001,349.90002,Accessoire
2024-10-18,Rouleau de Massage Myofascial,747.0,149.40001,Accessoire
2024-10-19,Tente Rooftop Voiture,1798.0,359.6,Haut de Gamme
2024-10-19,Glacière Électrique 40L,2392.0,478.4,Milieu de Gamme
2024-10-19,Pompe à Air 12V double sortie,1198.5,239.7,Accessoire
2024-10-19,Compresseur de Voyage,1788.0,357.6,Milieu de Gamme
2024-10-19,Démarreur de Batterie Portable,1990.0,398.0,Milieu de Gamme
2024-10-19,Nettoyant Jante Haute Pression,749.75,149.95,Accessoire
2024-10-19,Cire Liquide Protection Carrosserie,1996.0,399.2,Accessoire
2024-10-19,Kit de Nettoyage Intérieur Voiture,1399.65,279.93002,Accessoire
2024-10-20,Thermomix TM6,4497.0,899.4,Haut de Gamme
2024-10-20,Robot Tondeuse Connecté,6495.0,1299.0,Haut de Gamme
2024-10-20,Aspirateur Robot avec Station,6392.0,1278.4,Haut de Gamme
2024-10-20,Purificateur d'Eau UV,4788.0,957.60004,Haut de Gamme
2024-10-20,Distributeur Nourriture Chat Connecté,2980.0,596.0,Milieu de Gamme
2024-10-20,Fontaine à Eau pour Chien,2247.5,449.5,Accessoire
2024-10-20,Cage Transport Chien,2985.0,597.0,Milieu de Gamme
2024-10-20,Arbre à Chat Design,2990.0,598.0,Milieu de Gamme
2024-10-21,Écran Gaming 32"" 240Hz,3196.0,639.2,Haut de Gamme
2024-10-21,Fauteuil Gaming Ergonomique,2994.0,598.8,Haut de Gamme
2024-10-21,Bureau Gaming Réglable,2697.0,539.4,Haut de Gamme
2024-10-21,Lampe LED Ambiance Gaming,2099.7,419.94,Accessoire
2024-10-21,Clavier Numérique Macro,1788.0,357.6,Milieu de Gamme
2024-10-21,Mousepad XXL Édition Limitée,1247.5,249.5,Accessoire
2024-10-21,Support Casque Gaming,1399.6001,279.92,Accessoire
2024-10-21,Webcam Streaming 1080p 60fps,2322.0,464.4,Milieu de Gamme
2024-10-22,Drone avec Suivi Visage,4495.0,899.0,Haut de Gamme
2024-10-22,Caméra Action 4K Étanche,3192.0,638.4,Haut de Gamme
2024-10-22,Stabilisateur Smartphone 3 axes,1498.5,299.7,Accessoire
2024-10-22,Micro Cravate pour Smartphone,1249.75,249.95,Accessoire
2024-10-22,Trépied pliant Compact,2370.0,474.0,Accessoire
2024-10-22,Sac à Dos Photographe,2388.0,477.6,Milieu de Gamme
2024-10-22,Filtre ND Variable 82mm,1490.0,298.0,Milieu de Gamme
2024-10-22,Batterie Externe 50000mAh,2598.0,519.60004,Milieu de Gamme
2024-10-23,Montre Connectée Écran AMOLED,8725.0,1745.0,Haut de Gamme
2024-10-23,Bracelet Santé ECG,5970.0,1194.0,Milieu de Gamme
2024-10-23,Tensiomètre Bras Électronique,1348.5,269.7,Accessoire
2024-10-23,Thermomètre Frontal Infrarouge,2399.6,479.92,Accessoire
2024-10-23,Nebuliseur Ultrasonique,1548.0,309.6,Milieu de Gamme
2024-10-23,Masque Lumière Pulsée Épilation,2392.0,478.4,Milieu de Gamme
2024-10-23,Rasoir Électrique 5 lames,4980.0,996.0,Milieu de Gamme
2024-10-23,Sèche-cheveux Ionique Professionnel,2685.0,537.0,Milieu de Gamme
2024-10-24,Enceinte Portable Étanche,3225.0,645.0,Milieu de Gamme
2024-10-24,Radio Réveil Projecteur,2397.0,479.4,Accessoire
2024-10-24,Radio FM avec Bluetooth,899.82,179.964,Accessoire
2024-10-24,Poste de Soudure à l'Arc,1495.0,299.0,Milieu de Gamme
2024-10-24,Meuleuse d'Angle 125mm,1192.0,238.40001,Milieu de Gamme
2024-10-24,Perforateur Burineur 800W,2394.0,478.80002,Haut de Gamme
2024-10-24,Pistoler à Peinture Airless,3196.0,639.2,Haut de Gamme
2024-10-24,Groupe Électrogène Inverter 3000W,3897.0,779.4,Haut de Gamme
2024-10-25,Chaise de Bureau Ergonomique,5990.0,1198.0,Haut de Gamme
2024-10-25,Lampe de Bureau LED Réglable,2247.5,449.5,Accessoire
2024-10-25,Support Ordinateur Portable,1499.7001,299.94003,Accessoire
2024-10-25,Rangement de Bureau Organiseur,1396.0,279.2,Accessoire
2024-10-25,Machine à Affranchir,2392.0,478.4,Milieu de Gamme
2024-10-25,Destructeur de Documents,2388.0,477.6,Milieu de Gamme
2024-10-25,Relieuse Électrique,2394.0,478.80002,Haut de Gamme
2024-10-25,Scanner à Plat A4 Rapide,3493.0,698.60004,Haut de Gamme
